member_casual,hour,ride_count
casual,0,39140
casual,1,24989
casual,2,16743
casual,3,9282
casual,4,7311
casual,5,11608
casual,6,26902
casual,7,50052
casual,8,71006
casual,9,71304
casual,10,85893
casual,11,109762
casual,12,129512
casual,13,133078
casual,14,140168
casual,15,155516
casual,16,177389
casual,17,192019
casual,18,165054
casual,19,122605
casual,20,88425
casual,21,75710
casual,22,63766
casual,23,46269
member,0,32626
member,1,20108
member,2,12169
member,3,7943
member,4,8892
member,5,34827
member,6,101978
member,7,202060
member,8,260070
member,9,167882
member,10,144102
member,11,169127
member,12,191612
member,13,186619
member,14,189761
member,15,239954
member,16,338906
member,17,386766
member,18,298960
member,19,206616
member,20,143285
member,21,111737
member,22,81416
member,23,50714
